Class;Description;Energy;Surface;Energy_m2
69.20;"Accounting, bookkeeping and auditing activities; tax consultancy";138337060,3;1672804;82,69771012
93.21;Activities of amusement parks and theme parks;9273129,772;325938;28,4505942
94.11;Activities of business and employers membership organisations;5671805,128;72225;78,52966602
82.20;Activities of call centres;5177171,409;137935;37,53341363
82.91;Activities of collection agencies and credit bureaus;1012091,726;22805;44,38025547
78.10;Activities of employment placement agencies;1992910,128;22113;90,1239148
99.00;Activities of extraterritorial organisations and bodies;19989,336;2340;8,542451282
70.10;Activities of head offices;1661468996;21062660;78,88220178
64.20;Activities of holding companies;68418787,9;1645503;41,57925443
66.22;Activities of insurance agents and brokers;123832027,7;1227904;100,8482974
94.99;Activities of other membership organisations n.e.c.;38980743,49;1318590;29,56244434
94.92;Activities of political organisations;9836,149;170;57,8597
94.12;Activities of professional membership organisations;3329847,772;48412;68,78145443
94.91;Activities of religious organisations;443783,536;11225;39,5352816
93.12;Activities of sports clubs;32269372,15;1184775;27,2367092
94.20;Activities of trade unions;185208,019;8524;21,72782954
66.11;Administration of financial markets;1084552,657;15680;69,16789904
73.11;Advertising agencies;46142997,6;673778;68,4839778
46.19;Agents involved in the sale of a variety of goods;30808826,19;637866;48,29984071
46.11;Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods;3167345,027;141174;22,43575323
46.17;Agents involved in the sale of food, beverages and tobacco;13092214,03;429659;30,47117372
46.12;Agents involved in the sale of fuels, ores, metals and industrial chemicals;1649087,159;58378;28,24843535
46.15;Agents involved in the sale of furniture, household goods, hardware and ironmongery;2213717,854;60303;36,70991251
46.14;Agents involved in the sale of machinery, industrial equipment, ships and aircraft;3744496,486;84999;44,05341811
46.16;Agents involved in the sale of textiles, clothing, fur, footwear and leather goods;4394874,006;66191;66,39685163
46.13;Agents involved in the sale of timber and building materials;4141684,567;120214;34,45259759
46.18;Agents specialised in the sale of other particular products;24546364,4;475041;51,67209652
24.42;Aluminium production;296986,721;12021;24,70565851
71.11;Architectural activities;80236434,89;754192;106,3872792
90.03;Artistic creation;1760602,768;19299;91,22766817
56.30;Beverage serving activities;301418077,8;2209163;136,4399448
58.11;Book publishing;8637232,678;148959;57,98395987
91.04;Botanical and zoological gardens and nature reserves activities;1844680,365;24427;75,5180892
70.22;Business and other management consultancy activities;155405274;2683817;57,90457175
68.10;Buying and selling of own real estate;40750539,24;519916;78,37908285
55.30;Camping grounds, recreational vehicle parks and trailer parks;82704806,8;40990048;2,017680165
52.24;Cargo handling;3677141,963;295092;12,46100187
24.51;Casting of iron;641771,512;15782;40,66477709
24.53;Casting of light metals;1605110,224;29810;53,84469051
24.5;Casting of metals;5334346,101;122108;43,68547598
24.52;Casting of steel;722799,361;13524;53,44567887
64.11;Central banking;6045198,52;131196;46,07761304
88.91;Child day-care activities;18281376,48;290719;62,88332196
81.10;Combined facilities support activities;19870413,91;247740;80,20672442
82.11;Combined office administrative service activities;11102574,79;269647;41,1744792
84.30;Compulsory social security activities;1537908,681;49667;30,9643965
62.02;Computer consultancy activities;60709695,57;1093401;55,52372421
62.03;Computer facilities management activities;2059511,13;24370;84,51009971
62.01;Computer programming activities;40547425,85;665760;60,90396817
42.13;Construction of bridges and tunnels;2052760,346;68701;29,87962833
42.99;Construction of other civil engineering projects n.e.c.;6699318,77;140318;47,74383023
42.12;Construction of railways and underground railways;1824538,27;82158;22,20767631
41.20;Construction of residential and non-residential buildings;72173246,06;1484119;48,63036324
42.11;Construction of roads and motorways;23848722,98;1197477;19,91580881
42.22;Construction of utility projects for electricity and telecommunications;13810317,51;301390;45,82208273
42.21;Construction of utility projects for fluids;7849378,309;213229;36,81196417
42.91;Construction of water projects;1253008,54;65413;19,15534435
85.52;Cultural education;2422010,116;26032;93,0397248
63.11;Data processing, hosting and related activities;21203475;573275;36,98656839
43.11;Demolition;752815,226;82620;9,111779545
86.23;Dental practice activities;61252964,69;783822;78,14652394
41.10;Development of building projects;30673980,63;477520;64,23601237
47.73;Dispensing chemist in specialised stores;216536382,9;1346994;160,7552691
11.01;Distilling, rectifying and blending of spirits;4640008,408;195272;23,76177029
85.53;Driving school activities;33626009,49;362307;92,81081925
85.60;Educational support activities;523496,959;10456;50,06665637
43.21;Electrical installation;117478406,8;1829498;64,21346556
35;Electricity, gas, steam and air conditioning supply;75748441,88;1923723;39,37596103
71.12;Engineering activities and related technical consultancy;172195901,1;3062071;56,23511052
56.21;Event catering activities;50046787,14;418352;119,6284161
64.91;Financial leasing;1205511,226;29783;40,47648746
84.25;Fire service activities;3212,346;103;31,18782524
93.13;Fitness facilities;30817210,96;561714;54,86281446
43.33;Floor and wall covering;27312324,74;445752;61,27246707
25.50;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";15189445,37;353743;42,93921116
51.21;Freight air transport;255672,873;3192;80,09801786
49.20;Freight rail transport;1128275,492;36608;30,82046252
49.41;Freight transport by road;162851478,5;6956987;23,40833446
03.22;Freshwater aquaculture;18705,524;138;135,5472754
03.12;Freshwater fishing;59218,87;40;1480,47175
66.30;Fund management activities;24303066,93;493198;49,27649124
96.03;Funeral and related activities;61182093,37;684580;89,37172188
92.00;Gambling and betting activities;16132502,68;243455;66,26482381
81.21;General cleaning of buildings;57154976,54;736907;77,56063729
86.21;General medical practice activities;239249797,3;2504725;95,5193873
84.11;General public administration activities;786357,599;22902;34,33576103
85.31;General secondary education;713921,077;14615;48,84851707
01.11;Growing of cereals (except rice), leguminous crops and oil seeds;5576564,152;124453;44,80859563
01.21;Growing of grapes;4825210,509;51004;94,6045508
01.26;Growing of oleaginous fruits;48,35;40;1,20875
01.19;Growing of other non-perennial crops;318278,464;6188;51,43478733
01.25;Growing of other tree and bush fruits and nuts;22143,07;110;201,3006364
01.24;Growing of pome fruits and stone fruits;1200302,392;4730;253,7637192
01.28;Growing of spices, aromatic, drug and pharmaceutical crops;9952,027;193;51,56490674
01.13;Growing of vegetables and melons, roots and tubers;3808858,811;99172;38,40659471
96.02;Hairdressing and other beauty treatment;469478151,8;2429689;193,2256152
55.20;Holiday and other short-stay accommodation;99016755,25;2415517;40,99195131
86.10;Hospital activities;44976402,72;1184351;37,97556866
55.10;Hotels and similar accommodation;581423235,6;8606077;67,55961347
01.70;Hunting, trapping and related service activities;278461,066;3238;85,99785855
50.40;Inland freight water transport;502235,436;5699;88,12694087
50.30;Inland passenger water transport;37017,733;250;148,070932
80.30;Investigation activities;158131,198;1086;145,6088379
43.32;Joinery installation;204185400,7;4254072;47,99763632
84.23;Justice and judicial activities;45382,526;1960;23,15435
81.30;Landscape service activities;44481377,17;886896;50,15399457
77.40;Leasing of intellectual property and similar products, except copyrighted works;1722330,49;23124;74,48237718
69.10;Legal activities;193961418,2;2343157;82,77781566
91.01;Library and archives activities;199220,028;28158;7,075077349
65.11;Life insurance;7534334,951;155517;48,44701834
02.20;Logging;8478096,151;393897;21,52363727
25.62;Machining;107353746,9;1730235;62,04576076
45.20;Maintenance and repair of motor vehicles;398359392;8233006;48,38565549
68.32;Management of real estate on a fee or contract basis;23572720,03;567760;41,51881081
23.19;Manufacture and processing of other glass, including technical glassware;2470710,615;35776;69,06056057
23.9;Manufacture of abrasive products and non-metallic mineral products n.e.c.;2729435,538;291829;9,352859168
30.30;Manufacture of air and spacecraft and related machinery;633125,734;31242;20,26521138
23.6;Manufacture of articles of concrete, cement and plaster;15275079,63;988135;15,45849467
24.10;Manufacture of basic iron and steel and of ferro-alloys;1320244,771;54304;24,31210907
21.10;Manufacture of basic pharmaceutical products;1439486,711;35476;40,57635334
27.20;Manufacture of batteries and accumulators;1195413,094;25109;47,60894874
11.05;Manufacture of beer;14555961,83;124130;117,263851
10.71;"Manufacture of bread; manufacture of fresh pastry goods and cakes";819808769,4;2260319;362,6960484
23.5;Manufacture of cement, lime and plaster;1775594,261;57680;30,78353434
26.40;Manufacture of consumer electronics;2304506,982;54908;41,97033186
17.21;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;6313862,562;235564;26,80317265
25.7;Manufacture of cutlery, tools and general hardware;24710498,08;425497;58,0744355
10.5;Manufacture of dairy products;23999519,03;201578;119,0582258
25.12;Manufacture of doors and windows of metal;14927901,44;432759;34,4947221
20.12;Manufacture of dyes and pigments;77737,566;2262;34,36674005
27.40;Manufacture of electric lighting equipment;4031189,675;119347;33,77705074
27.1;Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;12406870,15;299796;41,3843752
20.53;Manufacture of essential oils;2297222,57;32796;70,04581565
20.51;Manufacture of explosives;311962,966;9026;34,56270397
20.15;Manufacture of fertilisers and nitrogen compounds;2107215,927;359624;5,859497495
23.11;Manufacture of flat glass;56104,14;5303;10,57969828
20.52;Manufacture of glues;285488,146;4611;61,91458382
10.61;Manufacture of grain mill products;2968850,935;146770;20,22791398
23.13;Manufacture of hollow glass;1943447,591;52985;36,67920338
17.22;Manufacture of household and sanitary goods and of toilet requisites;94444,954;10556;8,947039977
20.11;Manufacture of industrial gases;1627946,587;36493;44,60983167
26.5;"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks";19155456,8;377908;50,68814845
15;Manufacture of leather and related products;11110618,62;232947;47,69590773
25.92;Manufacture of light metal packaging;531702,186;29451;18,05379057
20.60;Manufacture of man-made fibres;45339,496;1627;27,86693055
31.03;Manufacture of mattresses;2073381,814;33809;61,32632772
28.4;Manufacture of metal forming machinery and machine tools;5075012,739;84303;60,19966951
29.10;Manufacture of motor vehicles;3334155,103;284052;11,73783358
31.01;Manufacture of office and shop furniture;4602498,809;126098;36,49937992
20.59;Manufacture of other chemical products n.e.c.;2725254,547;53907;50,5547433
27.90;Manufacture of other electrical equipment;7104283,047;190567;37,27971289
25.99;Manufacture of other fabricated metal products n.e.c.;11339755,18;306953;36,94296904
10.89;Manufacture of other food products n.e.c.;6721694,227;105472;63,72965552
20.13;Manufacture of other inorganic basic chemicals;1187346,385;17263;68,77984041
20.14;Manufacture of other organic basic chemicals;1774160,634;88009;20,15885459
23.4/23.3;Manufacture of other porcelain and ceramic products/Manufacture of clay building materials;4798117,494;113980;42,09613523
24.3;Manufacture of other products of first processing of steel;1332002,323;38446;34,64605741
13.9;Manufacture of other textiles;13128863,82;398871;32,91506232
20.30;Manufacture of paints, varnishes and similar coatings, printing ink and mastics;3744515,272;102787;36,42985272
17.12;Manufacture of paper and paperboard;820071,409;49281;16,64072176
29.3;Manufacture of parts and accessories for motor vehicles;6310171,542;262339;24,05350155
20.42;Manufacture of perfumes and toilet preparations;9135142,259;275579;33,14890561
20.20;Manufacture of pesticides and other agrochemical products;787037,936;65024;12,10380684
21.20;Manufacture of pharmaceutical preparations;15599047,72;251211;62,09540074
22.2;Manufacture of plastic products;34159562,39;1089996;31,33916307
20.16;Manufacture of plastics in primary forms;638600,901;27910;22,88072021
10.9;Manufacture of prepared animal feeds;6678051,277;176778;37,77648393
16.2;Manufacture of products of wood, cork, straw and plaiting materials;40537845,19;1331328;30,44917946
30.2/30.1;Manufacture of railway locomotives and rolling stock/Building of ships and boats;385647,521;61993;6,220823658
22.1;Manufacture of rubber products;6427336,041;213964;30,03933391
20.41;Manufacture of soap and detergents, cleaning and polishing preparations;2216762,207;59063;37,53216408
11.07;"Manufacture of soft drinks; production of mineral waters and other bottled waters";776343,955;69533;11,1651152
10.62;Manufacture of starches and starch products;199284,569;39538;5,040330037
10.81;Manufacture of sugar;403915,116;15286;26,42385948
20.17;Manufacture of synthetic rubber in primary forms;851555,578;15179;56,10090111
25.2;Manufacture of tanks, reservoirs and containers of metal;1228663,805;23494;52,29691857
24.20;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel;1040553,525;42199;24,65825079
10.4;Manufacture of vegetable and animal oils and fats;1808110,857;78467;23,04294617
14.1;Manufacture of wearing apparel, except fur apparel;30027434,7;472318;63,57461435
11.02;Manufacture of wine from grape;6902297,547;199394;34,61637535
27.3;Manufacture of wiring and wiring devices;2241814,405;86487;25,92082515
03.21;Marine aquaculture;906350,163;71771;12,62836191
03.11;Marine fishing;311431,982;3875;80,36954374
73.20;Market research and public opinion polling;15990543,14;208332;76,7550983
73.12;Media representation;26632279,41;589908;45,14649643
5/6/7/8;Mining of coal and lignite/Extraction of crude petroleum and natural gas/Mining of metal ores/Other mining and quarrying;10352656,7;1777934;5,822857708
01.5;Mixed farming;244140,715;491;497,2315988
59.14;Motion picture projection activities;26006032,43;592264;43,90952755
59.13;Motion picture, video and television programme distribution activities;3166152,845;64169;49,34084753
59.12;Motion picture, video and television programme post-production activities;5930360,993;131243;45,18611273
59.11;Motion picture, video and television programme production activities;21518302,47;352700;61,01021399
91.02;Museums activities;190694,778;1965;97,04568855
63.91;News agency activities;1215882,537;12274;99,06163736
65.12;Non-life insurance;87113365,13;1371799;63,50300965
46.39;Non-specialised wholesale of food, beverages and tobacco;42874976,48;1246129;34,40653133
46.90;Non-specialised wholesale trade;62189546,57;1427431;43,56746251
90.04;Operation of arts facilities;5783336,679;257387;22,46942029
91.03;Operation of historical sites and buildings and similar visitor attractions;5769628,255;186107;31,00167245
93.11;Operation of sports facilities;50421644,06;1311054;38,45886139
82.30;Organisation of conventions and trade shows;17840834,63;703584;25,35707837
55.90;Other accommodation;25052835,29;128453;195,0350345
66.19;Other activities auxiliary to financial services, except insurance and pension funding;64847725,41;799588;81,101424
66.29;Other activities auxiliary to insurance and pension funding;1926101,827;24041;80,11737561
93.29;Other amusement and recreation activities;38717925,2;1115075;34,72226102
81.22;Other building and industrial cleaning activities;4520971,371;78117;57,87435988
43.39;Other building completion and finishing;17088041,39;263986;64,7308622
82.99;Other business support service activities n.e.c.;115788525;2170647;53,34286277
81.29;Other cleaning activities;4327486,361;93200;46,43225709
43.29;Other construction installation;28743001,23;498639;57,64290645
64.92;Other credit granting;14356284,23;297202;48,30480358
85.59;Other education n.e.c.;87391453,27;2196788;39,78146879
64.99;Other financial service activities, except insurance and pension funding n.e.c.;6273668,754;63964;98,08124498
56.29;Other food service activities;22675089,83;356595;63,5877952
86.90;Other human health activities;505514817,2;3911353;129,2429544
78.30;Other human resources provision;9846156,5;171228;57,50319165
63.99;Other information service activities n.e.c.;207291,928;7651;27,09344243
62.09;Other information technology and computer service activities;7745526,722;107685;71,92762894
