"Power_level";"Section";"Class";"Mean";"Sd"
"MV";"J";"63.99";1105120,79897828;423805,644669663
"MV";"K";"64.11";277760,202137821;64441,7199645032
"LV-a";"K";"64.19";3778,02347538569;1579,60093573881
"LV-b";"K";"64.19";9180,1973917856;3521,61233172613
"MV";"K";"64.19";88384,6304381639;22699,2713595016
"LV-a";"K";"64.20";1398,60386159358;591,993475640315
"LV-b";"K";"64.20";18837,5420505996;9169,28513300667
"MV";"K";"64.20";72061,138881693;18239,3476157668
"LV-a";"K";"64.30";830,703890320584;591,040129224142
"MV";"K";"64.30";75914,1906168384;11775,5438689265
"LV-b";"K";"64.91";375,667165443807;1501,73670073044
"MV";"K";"64.91";12807,12181083;6447,64204390896
"LV-a";"K";"64.92";1266,87699136046;796,746632026851
"MV";"K";"64.92";176257,605701076;49244,4787098272
"MV";"K";"64.99";62900,2992023604;18808,8421865051
"LV-a";"K";"65.11";1760,58288979679;1333,25395965134
"MV";"K";"65.11";71633,2479411321;17962,3440461188
"LV-a";"K";"65.12";2537,89419876256;1330,53124494198
"LV-b";"K";"65.12";7696,01470088004;3655,67737749737
"MV";"K";"65.12";69742,6019104739;21678,9126259118
"MV";"K";"65.20";174082,801919391;44469,2736815822
"MV";"K";"65.30";41653,6267585978;14558,0984934914
"MV";"K";"66.11";164797,236321131;12508,3475207309
"MV";"K";"66.12";168077,15229288;26197,0780237211
"LV-a";"K";"66.19";1540,00614931746;937,755001146172
"LV-b";"K";"66.19";9935,09080121131;5906,14262767078
"MV";"K";"66.19";161860,274385474;27521,7920230517
"LV-a";"K";"66.22";1225,23217343744;704,404795388213
"MV";"K";"66.22";78303,9937972138;24206,7823194606
"MV";"K";"66.29";92307,7876353045;30743,2539641027
"LV-a";"K";"66.30";1341,47528704773;639,060565631543
"LV-b";"K";"66.30";20795,1557084343;22069,5612341463
"MV";"K";"66.30";24204,7225313084;12135,9966097572
"LV-a";"L";"68.10";868,045763956085;480,266313702303
"LV-b";"L";"68.10";4663,11898137443;2239,83990186235
"MV";"L";"68.10";33695,4196454522;7122,56731096717
"LV-a";"L";"68.20";815,745738540321;235,580173166639
"LV-b";"L";"68.20";10733,9275296011;2551,01062716819
"MV";"L";"68.20";36526,6580012454;8546,45654048872
"LV-a";"L";"68.31";867,032220013555;358,841491939135
"LV-b";"L";"68.31";9754,04741588427;2864,08023579023
"MV";"L";"68.31";32560,4047108024;12637,0706402212
"LV-a";"L";"68.32";521,062416559313;109,566500196422
"LV-b";"L";"68.32";9389,80356651626;4507,99047003321
"MV";"L";"68.32";54982,1926324462;11674,8356051135
"LV-a";"M";"69.10";1229,77234977422;835,770467939317
"LV-b";"M";"69.10";4482,16489165872;3352,61174335792
"MV";"M";"69.10";44227,0926735531;12986,2078941118
"LV-a";"M";"69.20";1718,82656557825;986,930284159835
"LV-b";"M";"69.20";6676,35699844961;7528,59527132178
"MV";"M";"69.20";55964,898356907;13381,9770271683
"LV-a";"M";"70.10";1661,09839888552;652,592000505916
"LV-b";"M";"70.10";23044,1595857635;7150,61567486474
"MV";"M";"70.10";68428,3851247356;18652,2469450148
"LV-a";"M";"70.21";902,958488698363;738,451834869826
"LV-a";"M";"70.22";1143,82235866727;630,302204836839
"LV-b";"M";"70.22";9959,52931249737;4917,04519934928
"MV";"M";"70.22";60269,4144573775;20213,1221388934
"LV-a";"M";"71.11";728,148177028563;566,42382130422
"LV-b";"M";"71.11";6532,21352645124;3771,76685514026
"MV";"M";"71.11";44297,5578599128;20516,7984359963
"LV-a";"M";"71.12";1900,71581396348;1385,91022622688
"LV-b";"M";"71.12";15052,048502418;5292,01687983081
"MV";"M";"71.12";53044,8024013954;8167,0201821296
"LV-a";"M";"71.20";1330,56842814365;957,499331332241
"LV-b";"M";"71.20";3796,43840863339;2809,1076293349
"MV";"M";"71.20";94024,900508307;19326,1587135687
"MV";"M";"72.11";168026,030067777;22993,0640899434
"LV-a";"M";"72.19";1427,33214694334;1409,82856285777
"LV-b";"M";"72.19";15247,729820485;8146,10148678511
"MV";"M";"72.19";144504,243562981;18864,7303666841
"MV";"M";"72.20";179673,036363359;31908,533460981
"LV-a";"M";"73.11";809,068242760641;584,150583070509
"LV-b";"M";"73.11";9819,25713729567;4510,42149581002
"MV";"M";"73.11";106656,123975253;26103,6015048528
"LV-a";"M";"73.12";1213,86227109851;709,167647432892
"MV";"M";"73.12";119534,919134634;34194,5265970954
"LV-a";"M";"73.20";3910,80500863618;2961,57425292604
"LV-b";"M";"73.20";13304,0321300429;8785,47423385747
"MV";"M";"73.20";155633,795091579;57530,556618436
"LV-a";"M";"74.10";818,505663629491;738,681484790592
"MV";"M";"74.10";27632,09884144;16311,485055926
"LV-a";"M";"74.20";1154,24634564358;772,872163534512
"LV-b";"M";"74.20";2893,19223981012;2049,16383757023
"MV";"M";"74.20";84197,0704582166;30772,1057185144
"LV-a";"M";"74.30";1651,62790501236;1213,18741266432
"MV";"M";"74.30";106839,767503704;35736,2013150788
"LV-a";"M";"74.90";719,246053665197;540,392034640361
"MV";"M";"74.90";75704,1895593109;19155,3344456065
"LV-a";"M";"75.00";1224,98480707872;706,910710973522
"LV-a";"N";"77.11";2300,61134782267;1248,59906089868
"LV-b";"N";"77.11";17507,0904233142;13014,5770407995
"MV";"N";"77.11";71950,134457571;37637,805370751
"MV";"N";"77.12";29765,4916343281;14397,9528230492
"LV-a";"N";"77.22";547,895272697378;413,100769255203
"LV-a";"N";"77.29";1893,26376426332;1925,08287059897
"LV-b";"N";"77.29";10552,552481724;10492,0238592663
"MV";"N";"77.29";80585,24857413;54263,8864794314
"LV-b";"N";"77.31";4798,33992884613;5727,05337320163
"MV";"N";"77.31";16129,0197351905;11607,8911565409
"LV-a";"N";"77.32";606,917665574654;357,081943524838
"LV-b";"N";"77.32";7508,60575501229;6292,04653936723
"MV";"N";"77.32";40222,6170357383;23578,2823017986
"LV-a";"N";"77.33";3483,13031847967;1451,57360903755
"LV-a";"N";"77.39";4058,91033304785;1948,48510202558
"MV";"N";"77.39";69338,2103487626;29344,9771189083
"MV";"N";"77.40";113785,780209152;54712,7017730912
"LV-a";"N";"78.10";1089,34379996944;1257,17171603798
"MV";"N";"78.10";56358,9934586733;10113,6936356019
"LV-a";"N";"78.20";1767,71487095157;1201,3810003
"LV-a";"N";"78.30";898,926709748724;774,401304775512
"MV";"N";"78.30";79693,9592982429;17257,8008954479
"LV-a";"N";"79.11";1033,60703476437;765,558627096387
"MV";"N";"79.11";60899,01519322;16269,9753220515
"LV-a";"N";"79.12";467,448324138466;452,575517781655
"LV-a";"N";"79.90";124,632239183249;298,433236187257
"LV-b";"N";"79.90";2127,66907089129;2710,80641299305
"MV";"N";"79.90";38745,9623959924;13020,6615007184
"LV-b";"N";"80.10";15447,1501602062;8716,09713433289
"MV";"N";"80.10";55643,7538676923;24277,5441741102
"LV-b";"N";"80.20";988,553104334306;827,550946494857
"MV";"N";"80.20";34186,2026501385;17123,8189334316
"LV-a";"N";"81.10";511,541854507567;120,769349159061
"LV-b";"N";"81.10";10292,6831513697;3343,96249692665
"MV";"N";"81.10";43210,4206380884;13296,5359669063
"LV-a";"N";"81.21";828,903509032868;537,140608578173
"LV-b";"N";"81.21";6850,29552513818;6529,38572669696
"MV";"N";"81.21";43023,5464245662;19697,4757955
"LV-a";"N";"81.22";1172,04223575714;785,872677678805
"MV";"N";"81.22";38065,2186198146;8954,49062583255
"LV-a";"N";"81.29";205,476999713511;314,895891937818
"MV";"N";"81.29";127380,777423552;34017,8154071351
"LV-a";"N";"81.30";573,376444683457;322,280409924382
"LV-b";"N";"81.30";5814,62928576603;2765,48538850013
"MV";"N";"81.30";7729,88198345272;6722,44791090859
"LV-a";"N";"82.11";6130,2347841478;4281,8490718849
"LV-b";"N";"82.11";19182,912742518;22886,8165207177
"MV";"N";"82.11";60328,286470166;16586,3527257422
"LV-a";"N";"82.19";1346,20488755254;987,036427323788
"LV-b";"N";"82.19";32777,9511119152;11899,3527910525
"MV";"N";"82.19";100798,881791675;38636,1704340928
"LV-a";"N";"82.20";3584,0971790806;2015,72981394528
"MV";"N";"82.20";58151,1750519826;17027,2518555927
"LV-a";"N";"82.30";4089,87819658151;2333,71955712824
"LV-b";"N";"82.30";13411,229552813;8505,21602250018
"MV";"N";"82.30";64299,9558998913;20691,2443271756
"MV";"N";"82.91";74912,3740342044;34411,411009052
"LV-a";"N";"82.92";4517,12960508105;3252,78422296443
"LV-b";"N";"82.92";5517,48579714512;7017,46420680976
"MV";"N";"82.92";52692,1387920295;19729,0154392164
"LV-a";"N";"82.99";1662,26121494019;979,879707902954
"LV-b";"N";"82.99";5339,96020399096;3992,57409143731
"MV";"N";"82.99";76835,8128863118;19035,2713445101
"LV-a";"O";"84.11";1042,3411646055;542,767105435132
"LV-b";"O";"84.11";9646,1343536598;3651,40182180086
"MV";"O";"84.11";43721,3560555025;7055,57583473202
"LV-a";"O";"84.12";2299,23002364511;2089,33356249618
"LV-b";"O";"84.12";5804,70850146543;3071,80379406668
"MV";"O";"84.12";38842,8245533116;8659,96964071114
"LV-a";"O";"84.13";1583,88567421505;718,726481898767
"LV-b";"O";"84.13";9199,68096765739;3632,69543004967
"MV";"O";"84.13";35298,4512513484;6815,96924003495
"MV";"O";"84.21";107632,4141477;25977,2418241211
"LV-b";"O";"84.22";3766,96732488782;1649,44633675136
"MV";"O";"84.22";130192,854430013;31832,530512292
"LV-b";"O";"84.23";4763,8842043125;3496,33325968685
"MV";"O";"84.23";76924,0104994906;29781,3328607859
"LV-b";"O";"84.24";16032,9820592916;3718,96024047415
"MV";"O";"84.24";98532,0654028835;21626,824165545
"LV-a";"O";"84.25";1329,57893983686;869,288239390793
"LV-b";"O";"84.25";6025,41050332589;2511,5140507686
"MV";"O";"84.25";40731,5484383539;8817,24390506087
"LV-a";"O";"84.30";3924,23974368389;2618,93625747312
"LV-b";"O";"84.30";16801,7748695177;5765,45303893777
"MV";"O";"84.30";60795,1949508345;19705,0372814405
"LV-a";"P";"85.10";2414,4461114577;1829,28652094243
"LV-b";"P";"85.10";9501,1589509838;10295,1005646177
"MV";"P";"85.10";35052,1907786885;20951,0600322141
"LV-a";"P";"85.20";1949,35276428735;1411,06048326018
"LV-b";"P";"85.20";9838,06816139828;10151,9048355625
"MV";"P";"85.20";34336,5455939709;17423,9091386147
"LV-a";"P";"85.31";931,391100228334;491,974139184171
"LV-b";"P";"85.31";16517,2259418555;12407,2105022057
"MV";"P";"85.31";38325,8885601522;23874,0333530168
"LV-a";"P";"85.32";1183,78949076793;671,267332845824
"LV-b";"P";"85.32";19821,7773099904;12956,1841857107
"MV";"P";"85.32";44420,7121629876;23905,0863271364
"LV-b";"P";"85.41";32698,2022094723;13494,6177242604
"MV";"P";"85.41";225226,918997711;47817,9322550836
"LV-a";"P";"85.42";699,039920985644;693,159198165131
"LV-b";"P";"85.42";20853,5890256141;13243,7313059886
"MV";"P";"85.42";78720,9315382658;25750,6822322816
"LV-a";"P";"85.51";1480,26118282672;930,070361018178
"LV-b";"P";"85.51";5576,53630160599;4254,36073568781
"MV";"P";"85.51";86584,9341511527;27636,5005282049
"LV-a";"P";"85.52";1547,6225143711;1007,05685105834
"MV";"P";"85.52";60354,608415601;23566,2232271557
"LV-a";"P";"85.53";472,064978340069;432,464879160069
"LV-b";"P";"85.53";16867,18607312;9496,61695249889
"MV";"P";"85.53";114172,351758213;22033,0871316206
"LV-a";"P";"85.59";1245,16391358014;748,352805283902
"LV-b";"P";"85.59";8003,97584261848;6190,40154245662
"MV";"P";"85.59";43527,0539187614;16179,9713984377
"MV";"P";"85.60";40219,3891761149;35156,6932330272
"LV-a";"Q";"86.10";855,197656638466;406,525853391954
"LV-b";"Q";"86.10";34341,2745451282;11950,5374498993
"MV";"Q";"86.10";122264,880539004;22447,5375179492
"LV-a";"Q";"86.21";607,431206315844;399,431923276083
"LV-b";"Q";"86.21";7809,0611509708;6873,91066116888
"MV";"Q";"86.21";73171,9322962855;12052,3367999841
"LV-a";"Q";"86.22";860,121785459897;626,628928597217
"LV-b";"Q";"86.22";4655,36442074908;3149,08326014916
"MV";"Q";"86.22";97912,4447483162;21112,9332291864
"LV-a";"Q";"86.23";1004,34602953999;760,662432163575
"MV";"Q";"86.23";35662,5648575977;20207,7617917903
"LV-a";"Q";"86.90";819,124045383114;429,865057743011
"LV-b";"Q";"86.90";12332,8609725679;3825,99956595429
"MV";"Q";"86.90";81080,1326982624;12810,3319674617
"LV-a";"Q";"87.10";1790,8897591016;815,31857068133
"LV-b";"Q";"87.10";25606,8638981857;7611,24057702035
"MV";"Q";"87.10";37686,6820036458;12303,947839729
"LV-a";"Q";"87.20";671,421001516234;304,268577618502
"LV-b";"Q";"87.20";19991,2709485749;8564,04084442347
"MV";"Q";"87.20";42344,3472152163;18043,7728356532
"LV-a";"Q";"87.30";1763,14709557985;1091,53126624358
"LV-b";"Q";"87.30";31812,5324339148;9827,88299603199
"MV";"Q";"87.30";29957,0028965797;10227,1994885716
"LV-a";"Q";"87.90";2196,8150319225;765,385331361645
"LV-b";"Q";"87.90";9315,239282678;4764,09412068228
"MV";"Q";"87.90";30871,9873211767;11837,001849502
"LV-a";"Q";"88.10";1032,51140419084;804,500123547044
"LV-b";"Q";"88.10";13792,8535256684;9134,09862933306
"MV";"Q";"88.10";40049,5927671417;25539,3886979352
"LV-a";"Q";"88.91";1797,95032039508;1139,7196393916
"MV";"Q";"88.91";25839,1976263599;12915,0505860994
"LV-a";"Q";"88.99";1346,14282360134;619,242778175207
"LV-b";"Q";"88.99";9897,76855458883;3684,25913016308
"MV";"Q";"88.99";60954,6100721463;15384,7972469991
"LV-a";"R";"90.01";735,720976300847;533,105683068707
"LV-b";"R";"90.01";3502,41660787027;2694,95213920393
"MV";"R";"90.01";34103,8423475733;12533,0015415294
"LV-a";"R";"90.02";1096,88312076088;950,853752837516
"MV";"R";"90.02";56390,0012158333;20046,0794184984
"LV-a";"R";"90.03";584,878288843858;358,222928640158
"LV-b";"R";"90.03";5723,94401338474;4661,76001112054
"MV";"R";"90.03";30446,8973341575;10706,4207873464
"LV-b";"R";"90.04";3551,99664429599;5085,10320834702
"MV";"R";"90.04";45982,0645732509;14823,0186710544
"MV";"R";"91.01";270532,827565407;64732,5047521431
"LV-a";"R";"91.02";11761,5839519518;7994,5052222466
"MV";"R";"91.02";118185,64468973;21182,8151017406
"LV-a";"R";"91.03";518,292740033875;278,311454019504
"MV";"R";"91.03";73993,8882546463;28274,0811090599
"LV-b";"R";"91.04";52920,4677083061;18910,9236875207
"MV";"R";"91.04";65194,5257019929;15269,5174962394
"LV-b";"R";"92.00";44245,1648004247;9524,29647823109
"MV";"R";"92.00";97636,2123431742;11274,6733700677
"LV-a";"R";"93.11";1311,5846859159;1184,18851992653
"LV-b";"R";"93.11";28458,9352759895;13940,6566975084
"MV";"R";"93.11";60620,7969291632;11636,65697411
"LV-a";"R";"93.12";1127,72994858664;749,643274187434
"LV-b";"R";"93.12";10749,9910046692;7277,25660564496
"MV";"R";"93.12";62765,0705361298;15522,4088515617
"LV-b";"R";"93.13";9437,71500755929;5517,55299736347
"MV";"R";"93.13";147243,270500981;58855,2849758713
"LV-a";"R";"93.19";3361,8013378332;2798,34310112192
"LV-b";"R";"93.19";40839,1999271165;10764,1708226168
"MV";"R";"93.19";151202,132463565;46115,5784492211
"LV-b";"R";"93.21";6907,54190852431;6468,3743294619
"MV";"R";"93.21";219807,557294746;48725,533620209
"LV-a";"R";"93.29";1023,15919984812;687,013541849095
"LV-b";"R";"93.29";3921,52652281243;2816,40129311649
"MV";"R";"93.29";34245,0601141197;5792,4847733526
"LV-b";"S";"94.11";17944,6424564282;7013,47414674824
"MV";"S";"94.11";45176,4724972184;8369,91615031078
"LV-b";"S";"94.12";56516,0879114663;11670,4194397102
"MV";"S";"94.12";19013,8641820818;18995,6487184621
"LV-a";"S";"94.20";1052,88049272467;2704,28906940017
"LV-b";"S";"94.20";11651,9627578872;5411,31318818522
"MV";"S";"94.20";68257,6463519036;12399,5316984307
"LV-a";"S";"94.91";1355,07932158947;479,019967748689
"LV-b";"S";"94.91";5255,29140214457;2594,19853356036
"MV";"S";"94.91";36212,6922787855;13858,9612964169
"MV";"S";"94.92";33573,8755113658;33687,3762091841
"LV-a";"S";"94.99";1141,50414384331;436,550041576039
"LV-b";"S";"94.99";17411,7187962759;5042,2974292511
"MV";"S";"94.99";44059,0802920009;11326,5850418534
"LV-a";"S";"95.11";767,266896740172;501,956853015641
"MV";"S";"95.11";195885,740086138;34393,1699611103
"MV";"S";"95.12";93310,0652303709;46607,2558013135
"LV-a";"S";"95.21";830,47970897399;665,523594473297
"MV";"S";"95.21";144811,209506601;61255,0126087719
"LV-a";"S";"95.22";1292,61079110085;1201,31530670636
"LV-b";"S";"95.22";16831,9833961337;11367,1310961737
"MV";"S";"95.22";83802,8320194174;33501,6046900311
"LV-a";"S";"95.23";477,011470461463;468,307270640802
"MV";"S";"95.23";83441,9976791518;33821,7160479771
"LV-a";"S";"95.24";403,097521233176;454,925239472349
"MV";"S";"95.24";108669,377966743;60128,2891223453
"LV-a";"S";"95.29";1125,73896927416;696,37922837855
"MV";"S";"95.29";90946,7937867365;35918,6514585815
"LV-a";"S";"96.01";2138,18593040019;3083,91845082325
"LV-b";"S";"96.01";5322,46498568648;4979,50278258198
"MV";"S";"96.01";38471,7385649484;30983,4018183368
"LV-a";"S";"96.02";1406,67131265311;1053,57102287103
"MV";"S";"96.02";78405,7160165991;32449,4538851716
"LV-a";"S";"96.03";1946,54282809284;1190,74881892557
"LV-b";"S";"96.03";4577,81098132658;2432,48784922861
"MV";"S";"96.03";30118,3012094551;11507,909142615
"LV-a";"S";"96.04";1637,39583554374;1645,52230162942
"LV-b";"S";"96.04";5598,24612896461;4925,68829049037
"MV";"S";"96.04";80285,7115336996;25885,8179970288
"LV-a";"S";"96.09";839,836453567739;658,978637780675
"LV-b";"S";"96.09";8660,44640615625;4466,41967015297
"MV";"S";"96.09";14190,4805385529;3446,81931002061
"LV-b";"T";"97.00";5955,72980340041;2007,13703779984
"MV";"T";"97.00";4917,56764624325;918,271350525662
"MV";"T";"98.20";40168,1746291071;20358,1449962921
"LV-a";"U";"99.00";1770,80571460931;915,84803115951
"LV-b";"U";"99.00";17484,6993097858;5843,19712584798
"MV";"U";"99.00";72571,3532816495;23117,3665266958
